NOMBRE_TUI;CATEGORIA_TUI;DIRECCION_TUI;LATITUD_TUI;LONGITUD_TUI;DESCRIPCION_TUI;WEBSITE;TELEFONO;HORARIO;Categoria_1;Categoria_2;Categoria_3
El Castillejo;hoteles;,  45216 El Viso de San Juan, Spain;4016487;-394048;;;;;;;
Casa Rural Jardín del Arroyo;hoteles;Calle Sauce, 19 45215 El Viso de San Juan, Spain;4014735;-397230;;https://www.escapadarural.com/casa-rural/toledo/casa-rural-jardin-del-arroyo;647 40 26 01;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Valdehoyas II;hoteles;Calle Ebro, 98 45215 El Viso de San Juan, Spain;4014415;-397149;;;;;;;
Tecnoacuar: viveros para marisco;hoteles;Calle Nogal, 95 45215 El Viso de San Juan, Spain;4014731;-397395;;https://tecnoacuar.net/;925 53 88 53;Monday: 8:00?AM?–?3:00?PM | Tuesday: 8:00?AM?–?3:00?PM | Wednesday: 8:00?AM?–?3:00?PM | Thursday: 8:00?AM?–?3:00?PM | Friday: 8:00?AM?–?3:00?PM | Saturday: Closed | Sunday: Closed;;;
Fuente de Valdemajuelo;hoteles;Poligono Rustica, 37P 45215 , Spain;4014592;-392560;;;;;;;
Pista de Fútbol;hoteles;,  45215 El Viso de San Juan, Spain;4014250;-392679;;;;;;;
Casas de Manducha;hoteles;Calle Manducha,  45215 , Spain;4015234;-397536;;;;;;;
Kiosko Arteson Chiringuito de Pablo y pame;hoteles;Calle de Palomeque, s/n 45215 El Viso de San Juan, Spain;4014247;-392640;;;687 72 38 74;Monday: Closed | Tuesday: 11:00?AM?–?11:00?PM | Wednesday: 11:00?AM?–?11:00?PM | Thursday: 11:00?AM?–?11:00?PM | Friday: 11:00?AM?–?2:00?AM | Saturday: 11:00?AM?–?2:00?AM | Sunday: 11:00?AM?–?9:00?PM;;;
AMH Servicios electricista y antenista;hoteles;Calle Sauce, 19 45215 Toledo, Spain;4014349;-397474;;https://amhservicios.es/;636 39 96 46;;;;
Homenaje a los agricultores;hoteles;Urbanización Apr 18,  45215 El Viso de San Juan, Spain;4014236;-392542;;;;Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Kiosco bar arteson;hoteles;,  45215 El Viso de San Juan, Spain;4014261;-392508;;https://instagram.com/kioskobarelalterson2022?igshid=YmMyMTA2M2Y=;677 50 50 22;Monday: Closed | Tuesday: 8:00?AM?–?1:00?AM | Wednesday: 8:00?AM?–?1:00?AM | Thursday: 8:00?AM?–?1:00?AM | Friday: 8:00?AM?–?1:00?AM | Saturday: 8:00?AM?–?1:00?AM | Sunday: 8:00?AM?–?1:00?AM;;;
Piscina Municipal El Viso De San Juan;hoteles;,  45215 El Viso de San Juan, Spain;4014260;-392508;;http://www.elvisodesanjuan.es/;;Monday: Closed | Tuesday: 12:00?–?8:00?PM | Wednesday: 12:00?–?8:00?PM | Thursday: 12:00?–?8:00?PM | Friday: 12:00?–?8:00?PM | Saturday: 12:00?–?8:00?PM | Sunday: 12:00?–?8:00?PM;;;
Lunde Photographic Reports;hoteles;Calle Sauce, 14 45215 El Viso de San Juan, Spain;4014264;-397529;;;646 00 25 75;Monday: Closed | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours;;;
Urbanización Valdehoyas 1;hoteles;Calle Castillo del Olmo, 27 45215 El Viso de San Juan, Spain;4014090;-397448;;;;;;;
Reformas Ringo;hoteles;Calle Fuente Serena, s/n 45215 El Viso de San Juan, Spain;4012993;-395792;;;687 71 06 00;;;;
